94,5107084
37,5026961
9,5896065
150,5531998
33,5496962
18,5181180
137,5141640
62,5081800
7,5069268
6,5054319
101,5051338
193,4998044
19,4992396
197,4945935
73,4940701
177,4913147
72,7753784
75,7515766
8,6202933
107,5380517
186,5159208
3,5016865
104,4976405
18,4965330
43,4959754
52,9872084
54,9676024
68,8638360
80,7852063
84,7736262
51,7712896
93,7385864
102,7039222
114,6566059
119,6508683
139,5988511
146,5889939
147,5885151
148,5860405
40,5217052
15,5206614
192,5197564
195,5189423
153,5172999
132,5836326
26,5427638
160,5413003
88,5323062
91,5269163
30,5176493
28,5137645
2,5094660
120,5086382
191,5078174
75,5060336
193,5052717
50,5013450
37,5004111
140,4972518
188,4969662
45,4967348
118,6292362
128,6007541
49,5837372
44,5794583
3,5510113
34,5466954
61,5419040
181,5410730
17,5365747
97,5356696
105,5326719
57,5323412
64,5302285
22,5255393
181,5211351
60,10024729
74,8912458
152,5796978
82,5528508
138,5418816
37,5312876
40,5249427
25,5189822
182,5098581
141,5082870
109,6426522
121,6155698
56,6020785
12,5454807
168,5439646
19,5198514
86,5156937
6,5103528
157,5085527
149,5084635
109,5079857
12,5068349
123,5054881
198,5052557
4,5023592
200,5013851
158,5510906
64,5462333
166,5393459
170,5321946
54,5232377
175,5208787
180,5170861
24,5168240
91,5093408
152,5073657
61,5060903
112,5044929
74,7464020
38,6591829
42,5874460
46,5440707
35,5145966
2,5124742
83,5115990
185,5079580
80,5016283
33,4995965
5,4994138
49,4982892
176,4974880
20,6162453
140,5936752
144,5897983
12,5535339
50,5497942
62,5168107
173,5116325
128,5059891
177,5053713
37,5004462
14,4986037
28,4984399
14,5344862
83,5232509
17,5163323
22,5120753
151,5044252
143,5003825
182,4995623
2,4966878
167,4929647
9,4908929
193,4902737
181,4847224
27,6011642
19,5963380
152,5579697
157,5479407
89,5342938
168,5233359
14,5208100
175,5197587
140,5092250
167,5072462
162,5046418
18,4995578
20,4906738
138,4900492
174,4884711
47,4873380
99,5487774
176,5136895
55,5071718
103,5052801
45,5030670
83,4948563
13,4942545
137,5929507
132,5427534
90,5332437
66,5186567
121,4962949
42,4931163
190,4914093
116,4864544
10,4848954
37,4833081
73,5942551
177,5119828
108,4983557
191,4915403
41,4855690
6,4796365
17,4790233
67,5622565
158,5446609
168,5160123
53,5064504
21,4935633
65,4906324
17,4892682
188,4879971
190,4860714
117,4815342
5,4812765
22,4790427
76,4769618
141,5317174
15,4986214
13,4858392
171,4848222
66,4655272
138,4630572
61,4606011
183,4580123
49,4540781
27,4516053
68,4504304
158,4488125
1,23235257
2,20709328
3,16657592
5,16613649
7,16527404
6,15424001
8,14582001
9,12266990
14,11664490
11,10884855
19,10787165
15,10609206
16,10508459
17,10476212
23,9882989
21,9852792
24,9509781
22,8804531
32,8478518
39,7045348
114,6912271
42,6716353
47,6404964
38,6052105
62,6007011
