Index,Highest Charting Position,Streams,Artist Followers,Genre,Tempo,Duration (ms)
108,59,6635076.0,8758283.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",90.025,216510.0
109,109,6614072.0,10356559.0,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']",111.898,158532.0
110,110,6584896.0,56699.0,[],167.933,151429.0
111,46,6569547.0,47014200.0,"['electropop', 'pop']",115.28399999999999,200186.0
112,24,6546948.0,1250353.0,[],89.911,158040.0
113,113,6539852.0,73211.0,"['chill r&b', 'nyc pop']",109.075,171743.0
114,9,6502302.0,8640063.0,"['dance pop', 'pop']",90.035,226987.0
115,80,6488622.0,21942793.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",124.01,189672.0
116,116,6469500.0,5420471.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",86.959,193221.0
117,80,6452492.0,83293380.0,"['pop', 'uk pop']",95.977,233713.0
118,9,6317487.0,33879560.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",116.947,190960.0
119,5,6300416.0,1250353.0,[],139.98,170813.0
120,99,6278765.0,83293380.0,"['pop', 'uk pop']",95.05,263400.0
121,80,6244011.0,282045.0,['latin pop'],139.966,231708.0
122,2,6242863.0,36142273.0,"['latin', 'reggaeton', 'trap latino']",81.993,203201.0
123,1,6180056.0,7593046.0,"['north carolina hip hop', 'rap']",89.977,181733.0
124,12,6164795.0,3794081.0,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",102.07799999999999,198040.0
125,13,6152121.0,1647262.0,"['alt z', 'dance pop', 'pop', 'post-teen pop']",124.148,169266.0
126,126,6136340.0,20270895.0,"['dance pop', 'edm', 'pop', 'pop dance']",125.98299999999999,176658.0
127,122,6089242.0,2421254.0,"['folk-pop', 'modern rock', 'pop', 'pop rock']",101.654,204280.0
128,128,6065267.0,13261089.0,"['grunge', 'permanent wave', 'rock']",116.76100000000001,301920.0
129,11,6040918.0,6266514.0,['pop'],88.485,202827.0
130,99,6014443.0,6662605.0,"['modern alternative rock', 'modern rock', 'pop']",85.012,260173.0
131,131,6012839.0,409173.0,[],150.006,147072.0
132,19,5952490.0,6430522.0,"['melodic rap', 'rap', 'trap']",77.005,236883.0
133,4,5928329.0,32262679.0,"['pop', 'pop rock']",91.05,189486.0
134,76,5914661.0,1838616.0,['pop'],122.764,244360.0
135,135,5912784.0,64288.0,['pop soul'],113.12,158594.0
136,108,5907750.0,4781906.0,"['irish singer-songwriter', 'modern rock', 'pop']",128.945,241693.0
137,110,5848466.0,261225.0,"['modern rock', 'uk pop']",106.52,226268.0
138,138,5847975.0,12969190.0,"['sertanejo', 'sertanejo universitario']",135.005,192725.0
139,14,5845156.0,17353707.0,"['dance pop', 'pop', 'pop rap', 'rap']",166.0,156945.0
140,2,5769714.0,26769304.0,"['latin', 'reggaeton', 'reggaeton colombiano']",179.984,200482.0
141,141,5768653.0,14187747.0,['pop'],92.04700000000001,198765.0
142,81,5756583.0,35888760.0,"['classic rock', 'glam rock', 'rock']",143.88299999999998,354320.0
143,5,5734402.0,6150675.0,['trap latino'],168.021,232853.0
144,25,5693848.0,441674.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",124.11399999999999,167903.0
145,13,5691540.0,17719446.0,"['rap', 'slap house']",124.917,162803.0
146,90,5690260.0,432581.0,"['edm', 'new french touch', 'pop dance', 'tropical house']",121.955,139563.0
147,100,5682062.0,10561047.0,"['colombian pop', 'reggaeton colombiano']",122.959,176575.0
148,59,5672480.0,18572085.0,"['dance pop', 'pop', 'post-teen pop']",95.79899999999999,215733.0
149,110,5668576.0,159647.0,"['plugg', 'vapor trap', 'viral rap']",157.905,180380.0
150,103,5652272.0,15889.0,[],149.95,173038.0
151,147,5647568.0,12169108.0,"['dance pop', 'piano rock', 'pop', 'pop rock']",122.01700000000001,257840.0
152,121,5628703.0,31151294.0,"['permanent wave', 'pop']",173.372,266773.0
153,153,5627257.0,205590.0,[],94.984,173053.0
154,154,5618268.0,409173.0,[],147.96200000000002,239928.0
155,142,5607285.0,20270895.0,"['dance pop', 'edm', 'pop', 'pop dance']",124.08,247427.0
156,128,5594505.0,77034.0,"['forro', 'sertanejo pop']",154.02700000000002,225672.0
157,68,5576844.0,1250353.0,[],107.994,235556.0
158,6,5570735.0,6837946.0,['brooklyn drill'],83.995,160000.0
159,19,5566150.0,1687399.0,"['art pop', 'norwegian pop']",115.01,248827.0
160,121,5493760.0,7593046.0,"['north carolina hip hop', 'rap']",119.98700000000001,159083.0
161,120,5478055.0,7593046.0,"['north carolina hip hop', 'rap']",139.94899999999998,112547.0
162,31,5477563.0,19085118.0,"['chicago rap', 'melodic rap']",83.90299999999999,239836.0
163,4,5467753.0,3553442.0,"['brooklyn drill', 'melodic rap', 'nyc rap']",104.949,205458.0
164,5,5453159.0,, ,,
165,13,5436286.0,1250353.0,[],135.128,194088.0
166,59,5434073.0,11477164.0,"['dance pop', 'pop', 'post-teen pop']",159.702,141050.0
167,7,5431375.0,6837946.0,['brooklyn drill'],125.971,190476.0
168,13,5420003.0,6266514.0,['pop'],168.88400000000001,163587.0
169,1,5386268.0,17353707.0,"['dance pop', 'pop', 'pop rap', 'rap']",133.07299999999998,187541.0
170,155,5382191.0,6118063.0,"['dance rock', 'modern rock', 'permanent wave', 'rock']",148.017,222587.0
171,144,5379704.0,4339245.0,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",117.40100000000001,253920.0
172,20,5378971.0,6930669.0,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",120.15100000000001,257800.0
173,94,5375426.0,8441598.0,"['pop', 'post-teen pop', 'talent show', 'uk pop']",85.04299999999999,211467.0
174,110,5366242.0,1304510.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",110.095,209476.0
175,65,5315734.0,6837946.0,['brooklyn drill'],145.043,203586.0
176,72,5245618.0,6837946.0,['brooklyn drill'],99.865,184800.0
177,4,5238547.0,924083.0,['sad rap'],144.026,173333.0
178,100,5235335.0,8148393.0,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",80.953,163733.0
179,138,5204983.0,35888760.0,"['classic rock', 'glam rock', 'rock']",109.975,214653.0
180,149,5178490.0,56308172.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",103.96700000000001,173987.0
181,15,5166847.0,16112621.0,"['pop', 'post-teen pop']",99.04799999999999,207133.0
182,181,5145493.0,180723.0,[],124.02600000000001,161613.0
183,183,5145432.0,304995.0,"['contemporary country', 'country', 'country road', 'modern country rock']",80.018,161853.0
184,184,5104206.0,6080597.0,"['puerto rican pop', 'trap latino']",102.101,164706.0
185,110,5103014.0,5799137.0,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",119.93,269560.0
186,80,5098609.0,4840346.0,['chicago rap'],93.92399999999999,132833.0
187,40,5092354.0,6837946.0,['brooklyn drill'],142.094,216387.0
188,45,5090062.0,1254432.0,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",94.01799999999999,155884.0
189,52,5068864.0,35305637.0,"['canadian contemporary r&b', 'canadian pop', 'pop']",113.00299999999999,242253.0
190,5,5065132.0,5881963.0,"['pop', 'pop rap', 'r&b']",121.00200000000001,279204.0
191,191,5063181.0,8148393.0,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",103.948,176800.0
192,64,5016125.0,36142273.0,"['latin', 'reggaeton', 'trap latino']",132.037,209771.0
193,41,5002227.0,67158068.0,"['dance pop', 'pop', 'post-teen pop']",140.048,178627.0
194,194,4992405.0,167628.0,[],93.421,161684.0
195,149,4978559.0,130627.0,"['funk bh', 'funk carioca']",83.406,140308.0
196,8,4977498.0,151832.0,"['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",122.031,166794.0
197,197,4973937.0,1909059.0,"['funk carioca', 'pop nacional']",77.249,186121.0
198,58,4954899.0,6603627.0,"['melodic rap', 'rap', 'trap']",98.54,174682.0
199,199,4950275.0,1427540.0,['uk hip hop'],117.07799999999999,182285.0
200,172,4948965.0,46785561.0,"['detroit hip hop', 'hip hop', 'rap']",104.50399999999999,284200.0
